tweet_id,username,user_id,text,created_at,retweet_count,favorite_count
1884575165775778018,Renata,1825968672390733824,"Daniel Noboa, aquel cuyo gobierno ha estado más tiempo en ""estado de excepción"" que en democracía, recibe al presidente designado por Washinton en Narnia, el Inmundo Gonzalez, no puede ser más patética la imagen #siempreantimperialista #LaCasaDeLosFamososCol #YaliCapkini https://t.co/XdXOq98LBt",Wed Jan 29 12:11:47 +0000 2025,0,1
1884569968081023236,Víctor s,1654250209185091584,"@LuchoNoboaYcaza @DanielNoboaOk @Adnecuadorok Una sola vuelta con Daniel Noboa presidente del Ecuador, ya no más correistas ni prófugos",Wed Jan 29 11:51:08 +0000 2025,0,0
1884566310790541806,Washington Andrade Escobar,2185632500,"Aunque el presidente del CNJ y su grupo aún andan sueltos y bastante traviesos, con la anuencia de la FGE….esperemos que el tribunal tenga la valentía de resolver en derecho y no sucumbir a las presiones de Mr. Daniel Noboa.  Esto no es por ningún político, esto es por la",Wed Jan 29 11:36:36 +0000 2025,21,25
1884565906916794441,El Telégrafo Ecuador,51254405,"#Nacional | Estos son los tres acuerdos alcanzados entre el presidente Daniel Noboa y su homologo electo, Edmundo González. #LéaloEnET: https://t.co/00Aemcn77V https://t.co/UeDElYXwlK",Wed Jan 29 11:35:00 +0000 2025,6,23
1884563138470957226,EcuadorTV,133184048,"#Nacional | Estos son los tres acuerdos alcanzados entre el presidente Daniel Noboa y su homologo electo, Edmundo González. #LéaloEnET: https://t.co/AyL9nodDe0 https://t.co/vn19W3msFM",Wed Jan 29 11:24:00 +0000 2025,2,9
1884558916392026312,ECOticias.com 'El Periódico Verde',341115145,"El 20 de agosto de 2023, de manera paralela a las elecciones que hicieron presidente de Ecuador a Daniel Noboa, un 59% de los votantes respondió que SI a la pregunta que defendía a Yasuní: “¿Está de acuerdo con que el gobierno ecuatoriano debería https://t.co/6kpl06KM93 https://t.co/xHnl5AKDOG",Wed Jan 29 11:07:13 +0000 2025,0,0
1884554413852749894,VIVIANA VIRGINIA IZURIETA LOAIZA,1694904422508191745,@MashiRafael Así como lo tienes bloqueado al PRESIDENTE DANIEL NOBOA 😉😉 Y NUNCA VOLVERASS JAMAS VOLVERAS 🐀🐀🐀🐀🐀🐀🐀❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️🐀🐀🐀🐀🐀🐀🐀🐀🐀,Wed Jan 29 10:49:20 +0000 2025,0,1
1884549645868716351,El Pitazo,2828470096,"#Fotos | Edmundo González Urrutia fue recibido por el presidente de Ecuador, Daniel Noboa, en el Palacio de Carondelet, donde la diáspora venezolana mostró su apoyo. Más detalles aquí: https://t.co/i4Sih1FQ9J",Wed Jan 29 10:30:23 +0000 2025,4,12
1884547032423252444,La Derecha Diario,1169664359628509184,"🇪🇨 | El presidente centrista de Ecuador, Daniel Noboa, lidera la intención de voto y supera por 6 puntos a la candidata comunista del correísmo, según una encuesta de Comunicaliza. https://t.co/ZX3q8drCBh",Wed Jan 29 10:20:00 +0000 2025,20,155
1884545773976834330,Servicio de Información Pública,856318114077782016,"📢El presidente de Ecuador Daniel Noboa firmó tres acuerdos con Edmundo González Urrutia. Se prevé declarar a la banda transnacional Tren de Aragua, con presencia en Ecuador, como grupo terrorista. https://t.co/gDzmJtSjK3",Wed Jan 29 10:15:00 +0000 2025,1,0
